date;region;value
2019-01-01;Карачаево-Черкесская Республика;116.089
2019-01-01;Магаданская область;46.6889
2019-01-01;Ленинградская область;54.9278
2019-01-01;Новосибирская область;59.8418
2019-01-01;Липецкая область;72.2456
2019-01-01;Санкт-Петербург;58.1025
2019-01-01;Камчатский край;65.226
2019-01-01;Свердловская область;66.5375
2019-01-01;Приморский край;44.6414
2019-01-01;Тамбовская область;70.6464
2019-01-01;Рязанская область;57.8582
2019-01-01;Белгородская область;42.0641
2019-01-01;Оренбургская область;53.6305
2019-01-01;Чувашская Республика;65.584
2019-01-01;Ханты-Мансийский автономный округ — Югра;45.2043
2019-01-01;Челябинская область;48.5977
2019-01-01;Томская область;43.3492
2019-01-01;Ульяновская область;68.0493
2019-01-01;Амурская область;64.0124
2019-01-01;Самарская область;65.3179
2019-01-01;Смоленская область;73.7237
2019-01-01;Курганская область;64.0281
2019-01-01;Орловская область;41.8431
2019-01-01;Забайкальский край;58.0448
2019-01-01;Калужская область;52.0293
2019-01-01;Республика Коми;81.432
2019-01-01;Ставропольский край;64.8399
2019-01-01;Республика Марий Эл;58.4929
2019-01-01;Республика Башкортостан;61.2047
2019-01-01;Брянская область;99.0049
2019-01-01;Кемеровская область;63.7833
2019-01-01;Астраханская область;55.0208
2019-01-01;Россия;56.32
2019-01-01;Республика Саха (Якутия);41.0497
2019-01-01;Москва;45.9923
2019-01-01;Ивановская область;53.6986
2019-01-01;Республика Татарстан;44.9213
2019-01-01;Владимирская область;52.3575
2019-01-01;Республика Калмыкия;25.3812
2019-01-01;Костромская область;51.8242
2019-01-01;Курская область;42.4056
2019-01-01;Кировская область;52.0264
2019-01-01;Ярославская область;60.965
2019-01-01;Тульская область;32.912
2019-01-01;Еврейская автономная область;55.1059
2019-01-01;Республика Хакасия;62.4408
2019-01-01;Вологодская область;58.1971
2019-01-01;Тюменская область;45.6343
2019-01-01;Иркутская область;52.1343
2019-01-01;Воронежская область;56.3089
2019-01-01;Красноярский край;57.8901
2019-01-01;Тверская область;58.4467
2019-01-01;Калининградская область;47.8185
2019-01-01;Республика Тыва;84.5255
2019-01-01;Республика Мордовия;64.9726
2019-01-01;Саратовская область;56.5183
2019-01-01;Республика Адыгея;60.9544
2019-01-01;Архангельская область;52.5956
2019-01-01;Новгородская область;90.0185
2019-01-01;Удмуртская Республика;55.8836
2019-01-01;Республика Карелия;48.1656
2019-01-01;Пензенская область;46.7619
2019-01-01;Кабардино-Балкарская Республика;8.04624
2019-01-01;Пермский край;58.7612
2019-01-01;Сахалинская область;45.6059
2019-01-01;Псковская область;72.4152
2019-01-01;Мурманская область;63.6184
2019-01-01;Волгоградская область;57.829
2019-01-01;Омская область;60.1937
2019-01-01;Хабаровский край;55.1478
2019-01-01;Нижегородская область;52.9703
2019-01-01;Ростовская область;46.6448
2019-01-01;Ямало-Ненецкий автономный округ;69.33
2019-01-01;Краснодарский край;52.2932
2019-01-01;Республика Бурятия;52.1912
2019-01-01;Алтайский край;40.5295
2019-01-01;Московская область;58.3162
2019-02-01;Псковская область;64.8323
2019-02-01;Мурманская область;60.4471
2019-02-01;Республика Бурятия;58.2437
2019-02-01;Ивановская область;57.933
2019-02-01;Московская область;54.9305
2019-02-01;Республика Хакасия;44.5195
2019-02-01;Липецкая область;54.1139
2019-02-01;Забайкальский край;80.8756
2019-02-01;Республика Адыгея;27.4311
2019-02-01;Нижегородская область;55.7569
2019-02-01;Ямало-Ненецкий автономный округ;76.0626
2019-02-01;Тамбовская область;101.194
2019-02-01;Орловская область;44.6118
2019-02-01;Курская область;56.3051
2019-02-01;Пермский край;53.7374
2019-02-01;Новосибирская область;49.7888
2019-02-01;Ульяновская область;52.4442
2019-02-01;Оренбургская область;57.3544
2019-02-01;Самарская область;65.5309
2019-02-01;Республика Алтай;49.477
2019-02-01;Брянская область;56.1973
2019-02-01;Алтайский край;38.9993
2019-02-01;Республика Тыва;56.0624
2019-02-01;Архангельская область;65.4915
2019-02-01;Удмуртская Республика;45.2652
2019-02-01;Россия;55.7565
2019-02-01;Карачаево-Черкесская Республика;122.695
2019-02-01;Республика Дагестан;21.025
2019-02-01;Камчатский край;59.173
2019-02-01;Ярославская область;62.4631
2019-02-01;Ханты-Мансийский автономный округ — Югра;54.9719
2019-02-01;Челябинская область;45.817
2019-02-01;Чукотский автономный округ;9.73183
2019-02-01;Астраханская область;73.7666
2019-02-01;Республика Коми;65.2898
2019-02-01;Ставропольский край;45.9423
2019-02-01;Москва;47.7624
2019-02-01;Республика Татарстан;54.2021
2019-02-01;Иркутская область;48.675
2019-02-01;Красноярский край;50.1999
2019-02-01;Ростовская область;53.7725
2019-02-01;Кировская область;53.8112
2019-02-01;Кабардино-Балкарская Республика;14.4703
2019-02-01;Волгоградская область;61.0039
2019-02-01;Свердловская область;70.8436
2019-02-01;Магаданская область;94.8175
2019-02-01;Краснодарский край;40.0763
2019-02-01;Томская область;46.899
