date,rate
10/31/23,93.2435
10/28/23,93.2174
10/27/23,93.5616
10/26/23,93.1507
10/25/23,93.5224
10/24/23,94.7081
10/21/23,95.9053
10/20/23,97.3074
10/19/23,97.3724
10/18/23,97.3458
10/17/23,97.2865
10/14/23,97.3075
10/13/23,96.9948
10/12/23,99.9808
10/11/23,99.9349
10/10/23,101.3598
10/07/23,100.4911
10/06/23,99.6762
10/05/23,99.4555
10/04/23,99.2677
10/03/23,98.4785
09/30/23,97.4147
09/29/23,97.0018
09/28/23,96.5
09/27/23,96.2378
09/26/23,96.1456
09/23/23,96.0419
09/22/23,96.0762
09/21/23,96.6172
09/20/23,96.2236
09/19/23,96.6472
09/16/23,96.6338
09/15/23,96.1609
09/14/23,95.9794
09/13/23,94.7035
09/12/23,96.5083
09/09/23,97.9241
09/08/23,98.1961
09/07/23,97.8439
09/06/23,97.5383
09/05/23,96.6199
09/02/23,96.3411
09/01/23,96.3344
08/31/23,95.9283
08/30/23,95.707
08/29/23,95.4717
08/26/23,94.7117
08/25/23,94.4007
08/24/23,94.4421
08/23/23,94.1185
08/22/23,94.1424
08/19/23,93.4047
08/18/23,93.746
08/17/23,96.7045
08/16/23,97.4217
08/15/23,101.0399
08/12/23,98.2066
08/11/23,97.2794
08/10/23,97.3999
08/09/23,96.0755
08/08/23,96.5668
08/05/23,94.8076
08/04/23,93.7792
08/03/23,92.841
08/02/23,91.7755
08/01/23,91.5923
07/29/23,90.9783
07/28/23,90.0225
07/27/23,90.0468
07/26/23,90.0945
07/25/23,90.489
07/22/23,90.3846
07/21/23,90.8545
07/20/23,91.2046
07/19/23,90.6906
07/18/23,90.4217
07/15/23,90.119
07/14/23,90.1757
07/13/23,90.6253
07/12/23,90.5045
07/11/23,91.4931
07/08/23,91.6879
07/07/23,92.5695
07/06/23,90.338
07/05/23,89.545
07/04/23,89.3255
07/01/23,88.3844
06/30/23,87.0341
06/29/23,85.6192
06/28/23,85.0504
06/27/23,84.6642
06/24/23,84.0793
06/23/23,83.6077
06/22/23,84.2467
06/21/23,84.2336
06/20/23,83.9866
06/17/23,83.6498
06/16/23,83.9611
06/15/23,84.3249
06/14/23,83.6405
06/10/23,82.6417
06/09/23,82.093
06/08/23,81.4581
06/07/23,81.2502
06/06/23,81.3294
06/03/23,80.8756
06/02/23,80.9657
06/01/23,80.9942
05/31/23,80.6872
05/30/23,80.0555
05/27/23,79.9667
