date;region;value
2023-07-01;Волгоградская область;4525
2023-07-01;Самарская область;6263
2023-07-01;Иркутская область;5256
2023-07-01;Республика Тыва;53
2023-07-01;Ямало-Ненецкий автономный округ;361
2023-07-01;Удмуртская Республика;11181
2023-07-01;Смоленская область;1520
2023-07-01;Курганская область;1682
2023-07-01;Кировская область;1031
2023-07-01;Ульяновская область;3236
2023-07-01;Липецкая область;1607
2023-07-01;Ставропольский край;4619
2023-07-01;Воронежская область;7147
2023-07-01;Томская область;734
2023-07-01;Республика Мордовия;1110
2023-07-01;Тульская область;3194
2023-07-01;Ленинградская область;21558
2023-07-01;Астраханская область;3955
2023-07-01;Кемеровская область;1979
2023-07-01;Краснодарский край;58791
2023-06-01;Республика Коми;353
2023-06-01;Ленинградская область;22325
2023-06-01;Самарская область;5661
2023-06-01;Приморский край;12372
2023-06-01;Республика Адыгея;1122
2023-06-01;Свердловская область;21470
2023-06-01;Кемеровская область;2025
2023-06-01;Костромская область;946
2023-06-01;Удмуртская Республика;11529
2023-06-01;Ростовская область;16624
2023-06-01;Оренбургская область;2522
2023-06-01;Республика Хакасия;427
2023-06-01;Санкт-Петербург;39448
2023-06-01;Ставропольский край;5007
2023-06-01;Республика Алтай;14
2023-06-01;Чувашская Республика;1388
2023-06-01;Пермский край;7590
2023-06-01;Рязанская область;7412
2023-06-01;Краснодарский край;57973
2023-06-01;Тамбовская область;244
2023-06-01;Хабаровский край;2057
2023-06-01;Иркутская область;3664
2023-06-01;Московская область;32285
2023-06-01;Астраханская область;4479
2023-06-01;Ханты-Мансийский автономный округ — Югра;4263
2023-06-01;Ульяновская область;3315
2023-06-01;Тульская область;3406
2023-06-01;Омская область;1981
2023-06-01;Республика Тыва;81
2023-06-01;Республика Северная Осетия — Алания;54
2023-06-01;Волгоградская область;3807
2023-06-01;Новосибирская область;15930
2023-06-01;Алтайский край;1791
2023-06-01;Ярославская область;2767
2023-06-01;Курская область;885
2023-06-01;Республика Калмыкия;13
2023-06-01;Ямало-Ненецкий автономный округ;347
2023-06-01;Белгородская область;1204
2023-06-01;Республика Башкортостан;10632
2023-06-01;Красноярский край;7079
2023-06-01;Воронежская область;8745
2023-06-01;Забайкальский край;1024
2023-06-01;Смоленская область;1720
2023-06-01;Саратовская область;1874
2023-06-01;Нижегородская область;6037
2023-06-01;Владимирская область;1536
2023-06-01;Сахалинская область;783
2023-06-01;Пензенская область;11061
2023-06-01;Кировская область;1167
2023-06-01;Архангельская область;2870
2023-06-01;Брянская область;1531
2023-06-01;Тюменская область;16718
2023-06-01;Ивановская область;844
2023-06-01;Республика Дагестан;84
2023-06-01;Республика Саха (Якутия);1106
2023-06-01;Республика Бурятия;814
2023-06-01;Псковская область;1688
2023-06-01;Мурманская область;99
2023-06-01;Орловская область;1424
2023-06-01;Республика Татарстан;13559
2023-06-01;Новгородская область;305
2023-06-01;Курганская область;1332
2023-06-01;Амурская область;779
2023-06-01;Челябинская область;7020
2023-06-01;Республика Марий Эл;1109
2023-06-01;Томская область;959
2023-06-01;Калининградская область;5768
2023-06-01;Калужская область;1813
2023-06-01;Россия;479197
2023-06-01;Республика Карелия;443
2023-06-01;Тверская область;1657
2023-06-01;Москва;59014
2023-06-01;Вологодская область;2962
2023-06-01;Республика Мордовия;1253
2023-06-01;Липецкая область;1740
2023-05-01;Республика Бурятия;991
2023-05-01;Сахалинская область;753
2023-05-01;Брянская область;2065
2023-05-01;Вологодская область;3150
2023-05-01;Ярославская область;2748
2023-05-01;Волгоградская область;4216
2023-05-01;Оренбургская область;2720
2023-05-01;Ставропольский край;7634
2023-05-01;Белгородская область;1316
2023-05-01;Пензенская область;10697
2023-05-01;Челябинская область;5788
2023-05-01;Республика Саха (Якутия);726
2023-05-01;Россия;480418
2023-05-01;Мурманская область;100
2023-05-01;Москва;57011
2023-05-01;Республика Хакасия;464
2023-05-01;Московская область;32372
2023-05-01;Красноярский край;7342
2023-05-01;Псковская область;1892
2023-05-01;Республика Марий Эл;1160
2023-05-01;Орловская область;1490
2023-05-01;Тверская область;1721
2023-05-01;Ямало-Ненецкий автономный округ;362
2023-05-01;Курганская область;1480
2023-05-01;Липецкая область;1750
2023-05-01;Воронежская область;8352
2023-05-01;Кемеровская область;1889
2023-05-01;Тульская область;3820
2023-05-01;Ленинградская область;22394
2023-05-01;Ростовская область;17087
2023-05-01;Санкт-Петербург;48669
2023-05-01;Приморский край;11287
2023-05-01;Ханты-Мансийский автономный округ — Югра;4045
2023-05-01;Алтайский край;2472
2023-05-01;Курская область;611
2023-05-01;Новосибирская область;15722
2023-05-01;Омская область;2043
2023-05-01;Республика Северная Осетия — Алания;60
2023-05-01;Хабаровский край;2335
2023-05-01;Краснодарский край;52735
2023-05-01;Рязанская область;7929
2023-05-01;Костромская область;1061
2023-05-01;Свердловская область;17657
2023-05-01;Республика Коми;291
2023-05-01;Республика Татарстан;13483
2023-05-01;Республика Мордовия;1360
2023-05-01;Томская область;1143
2023-05-01;Ульяновская область;3245
2023-05-01;Кировская область;1470
2023-05-01;Республика Тыва;122
2023-05-01;Самарская область;5821
2023-05-01;Республика Алтай;17
2023-05-01;Республика Карелия;490
2023-05-01;Иркутская область;3767
2023-05-01;Калужская область;1521
2023-05-01;Тюменская область;14551
2023-05-01;Владимирская область;1534
2023-05-01;Пермский край;8193
2023-05-01;Саратовская область;2031
2023-05-01;Республика Калмыкия;21
2023-05-01;Тамбовская область;254
2023-05-01;Республика Адыгея;1252
2023-05-01;Калининградская область;6288
2023-05-01;Кабардино-Балкарская Республика;109
2023-05-01;Амурская область;727
2023-05-01;Ивановская область;994
2023-05-01;Новгородская область;331
2023-05-01;Нижегородская область;6286
2023-05-01;Забайкальский край;978
2023-05-01;Астраханская область;3595
2023-05-01;Республика Башкортостан;10431
2023-05-01;Удмуртская Республика;12048
2023-05-01;Смоленская область;1900
2023-05-01;Республика Дагестан;104
2023-05-01;Чувашская Республика;1450
2023-05-01;Архангельская область;2292
2023-04-01;Сахалинская область;1139
2023-04-01;Белгородская область;1546
2023-04-01;Республика Татарстан;13179
2023-04-01;Кабардино-Балкарская Республика;109
2023-04-01;Смоленская область;1436
2023-04-01;Республика Карелия;575
2023-04-01;Хабаровский край;1823
2023-04-01;Брянская область;2119
2023-04-01;Ростовская область;16937
2023-04-01;Иркутская область;3797
2023-04-01;Омская область;1825
2023-04-01;Калининградская область;6732
2023-04-01;Вологодская область;2969
2023-04-01;Рязанская область;7806
2023-04-01;Россия;479736
2023-04-01;Республика Мордовия;1438
2023-04-01;Тюменская область;16241
2023-04-01;Костромская область;1015
2023-04-01;Республика Марий Эл;1300
2023-04-01;Ленинградская область;20759
2023-04-01;Калужская область;1525
2023-04-01;Санкт-Петербург;50711
2023-04-01;Мурманская область;100
2023-04-01;Пермский край;7131
2023-04-01;Волгоградская область;3997
2023-04-01;Псковская область;1795
2023-04-01;Камчатский край;41
2023-04-01;Москва;60325
2023-04-01;Новосибирская область;15244
2023-04-01;Владимирская область;1580
2023-04-01;Ульяновская область;3115
2023-04-01;Тамбовская область;123
2023-04-01;Республика Хакасия;567
2023-04-01;Республика Адыгея;1338
2023-04-01;Курская область;589
2023-04-01;Саратовская область;2124
2023-04-01;Ханты-Мансийский автономный округ — Югра;3941
2023-04-01;Ярославская область;2741
2023-04-01;Красноярский край;7307
2023-04-01;Краснодарский край;48940
2023-04-01;Республика Дагестан;82
2023-04-01;Республика Калмыкия;29
2023-04-01;Московская область;35055
2023-04-01;Томская область;1078
2023-04-01;Республика Башкортостан;11296
2023-03-01;Ямало-Ненецкий автономный округ;406
2023-03-01;Республика Алтай;37
2023-03-01;Смоленская область;1553
2023-03-01;Курганская область;1515
2023-03-01;Ярославская область;2449
2023-03-01;Кемеровская область;1755
2023-03-01;Республика Карелия;741
2023-03-01;Пермский край;7100
2023-03-01;Иркутская область;4272
2023-03-01;Тюменская область;15983
2023-03-01;Республика Марий Эл;1283
2023-03-01;Брянская область;2214
2023-03-01;Калужская область;1416
2023-03-01;Псковская область;1743
2023-03-01;Владимирская область;1840
2023-03-01;Республика Бурятия;790
2023-03-01;Краснодарский край;52672
2023-03-01;Волгоградская область;3701
2023-03-01;Красноярский край;6316
