date;region;value
2023-07-01;Красноярский край;13905
2023-07-01;Мурманская область;1630
2023-07-01;Оренбургская область;6934
2023-07-01;Кировская область;2744
2023-07-01;Курская область;2753
2023-07-01;Самарская область;9568
2023-07-01;Санкт-Петербург;39546
2023-07-01;Орловская область;2590
2023-07-01;Ярославская область;7445
2023-07-01;Волгоградская область;8810
2023-07-01;Курганская область;2079
2023-07-01;Хабаровский край;5917
2023-07-01;Ханты-Мансийский автономный округ — Югра;11412
2023-07-01;Нижегородская область;13109
2023-07-01;Чеченская Республика;559
2023-07-01;Псковская область;1508
2023-07-01;Республика Калмыкия;943
2023-07-01;Свердловская область;19214
2023-07-01;Республика Ингушетия;248
2023-07-01;Республика Коми;3714
2023-07-01;Астраханская область;2979
2023-07-01;Чукотский автономный округ;106
2023-07-01;Новгородская область;1424
2023-07-01;Тверская область;4931
2023-07-01;Тульская область;6286
2023-07-01;Алтайский край;5126
2023-07-01;Новосибирская область;10963
2023-07-01;Саратовская область;12622
2023-07-01;Республика Башкортостан;19246
2023-07-01;Ставропольский край;22024
2023-07-01;Республика Карелия;1237
2023-07-01;Камчатский край;760
2023-07-01;Ульяновская область;5177
2023-07-01;Воронежская область;16455
2023-07-01;Иркутская область;9857
2023-07-01;Ямало-Ненецкий автономный округ;1967
2023-07-01;Республика Дагестан;2446
2023-07-01;Челябинская область;11306
2023-07-01;Московская область;39804
2023-07-01;Белгородская область;11266
2023-07-01;Магаданская область;398
2023-07-01;Томская область;6415
2023-07-01;Россия;734602
2023-07-01;Республика Марий Эл;1866
2023-07-01;Ненецкий автономный округ;40
2023-07-01;Кабардино-Балкарская Республика;2000
2023-07-01;Амурская область;5489
2023-07-01;Смоленская область;4001
2023-07-01;Липецкая область;2912
2023-07-01;Костромская область;5380
2023-07-01;Омская область;8535
2023-07-01;Ростовская область;36438
2023-07-01;Ленинградская область;15085
2023-07-01;Брянская область;4147
2023-07-01;Пермский край;8122
2023-07-01;Рязанская область;4326
2023-06-01;Пермский край;8505
2023-06-01;Тульская область;6422
2023-06-01;Костромская область;5998
2023-06-01;Республика Хакасия;4695
2023-06-01;Иркутская область;10355
2023-06-01;Рязанская область;4507
2023-06-01;Ивановская область;4637
2023-06-01;Псковская область;1417
2023-06-01;Республика Татарстан;18584
2023-06-01;Забайкальский край;4381
2023-06-01;Ярославская область;8433
2023-06-01;Смоленская область;4029
2023-06-01;Ростовская область;39206
2023-06-01;Республика Мордовия;2011
2023-06-01;Республика Северная Осетия — Алания;3192
2023-06-01;Белгородская область;11306
2023-06-01;Республика Алтай;451
2023-06-01;Республика Ингушетия;258
2023-06-01;Пензенская область;6467
2023-06-01;Чукотский автономный округ;94
2023-06-01;Чувашская Республика;3779
2023-06-01;Карачаево-Черкесская Республика;633
2023-06-01;Удмуртская Республика;6690
2023-06-01;Республика Калмыкия;932
2023-06-01;Воронежская область;16262
2023-06-01;Свердловская область;20584
2023-06-01;Республика Тыва;1865
2023-06-01;Астраханская область;3420
2023-06-01;Сахалинская область;4450
2023-06-01;Ненецкий автономный округ;44
2023-06-01;Кемеровская область;9869
2023-06-01;Россия;772730
2023-06-01;Республика Бурятия;3062
2023-06-01;Калининградская область;12786
2023-06-01;Ямало-Ненецкий автономный округ;2336
2023-06-01;Краснодарский край;85195
2023-06-01;Кабардино-Балкарская Республика;2920
2023-06-01;Ханты-Мансийский автономный округ — Югра;15498
2023-06-01;Владимирская область;7667
2023-06-01;Московская область;39092
2023-06-01;Новгородская область;1491
2023-06-01;Еврейская автономная область;314
2023-06-01;Липецкая область;3013
2023-06-01;Приморский край;5800
2023-06-01;Чеченская Республика;981
2023-06-01;Тюменская область;30885
2023-06-01;Республика Коми;3871
2023-06-01;Республика Дагестан;2521
2023-06-01;Челябинская область;12464
2023-06-01;Калужская область;8861
2023-06-01;Москва;37374
2023-06-01;Тверская область;6382
2023-06-01;Архангельская область;3733
2023-06-01;Республика Саха (Якутия);4386
2023-06-01;Республика Адыгея;5711
2023-06-01;Тамбовская область;3144
2023-06-01;Волгоградская область;9404
2023-06-01;Красноярский край;14725
2023-06-01;Нижегородская область;14070
2023-06-01;Новосибирская область;10626
2023-06-01;Омская область;9240
2023-06-01;Томская область;6628
2023-06-01;Оренбургская область;7090
2023-06-01;Саратовская область;13157
2023-06-01;Кировская область;2901
2023-06-01;Алтайский край;5145
2023-06-01;Республика Башкортостан;19962
2023-06-01;Магаданская область;405
2023-06-01;Ульяновская область;5696
2023-06-01;Мурманская область;1826
2023-06-01;Орловская область;2623
2023-06-01;Ставропольский край;22185
2023-06-01;Курская область;2832
2023-06-01;Амурская область;6590
2023-06-01;Санкт-Петербург;41703
2023-06-01;Самарская область;10021
2023-06-01;Республика Марий Эл;2814
2023-06-01;Брянская область;4755
2023-06-01;Курганская область;2228
2023-06-01;Камчатский край;842
2023-06-01;Вологодская область;5947
2023-06-01;Хабаровский край;6008
2023-06-01;Республика Карелия;1450
2023-06-01;Ленинградская область;15667
2023-05-01;Чукотский автономный округ;93
2023-05-01;Вологодская область;6311
2023-05-01;Тульская область;6781
2023-05-01;Архангельская область;3946
2023-05-01;Ульяновская область;5894
2023-05-01;Рязанская область;4406
2023-05-01;Мурманская область;2069
2023-05-01;Алтайский край;5436
2023-05-01;Ростовская область;42464
2023-05-01;Челябинская область;12814
2023-05-01;Карачаево-Черкесская Республика;705
2023-05-01;Республика Мордовия;2159
2023-05-01;Республика Бурятия;3672
2023-05-01;Республика Адыгея;5535
2023-05-01;Кировская область;2807
2023-05-01;Оренбургская область;7334
2023-05-01;Орловская область;2735
2023-05-01;Курская область;3326
2023-05-01;Курганская область;2276
2023-05-01;Хабаровский край;6067
2023-05-01;Самарская область;10542
2023-05-01;Псковская область;1492
2023-05-01;Республика Ингушетия;292
2023-05-01;Свердловская область;20755
2023-05-01;Ненецкий автономный округ;47
2023-05-01;Новгородская область;1542
2023-05-01;Республика Коми;4049
2023-05-01;Новосибирская область;11177
2023-05-01;Саратовская область;13657
2023-05-01;Ставропольский край;22887
2023-05-01;Россия;799787
2023-05-01;Иркутская область;10609
2023-05-01;Белгородская область;13076
2023-05-01;Московская область;40849
2023-05-01;Камчатский край;984
2023-05-01;Липецкая область;3083
2023-05-01;Республика Марий Эл;3082
2023-05-01;Смоленская область;4132
2023-05-01;Ленинградская область;19720
2023-05-01;Омская область;9435
2023-05-01;Амурская область;6242
2023-05-01;Нижегородская область;14532
2023-05-01;Пермский край;8416
2023-05-01;Ивановская область;4375
2023-05-01;Забайкальский край;4330
2023-05-01;Республика Северная Осетия — Алания;2152
2023-05-01;Республика Тыва;1864
2023-05-01;Удмуртская Республика;6117
2023-05-01;Пензенская область;6749
2023-05-01;Сахалинская область;4477
2023-05-01;Калининградская область;12804
2023-05-01;Владимирская область;7965
2023-05-01;Еврейская автономная область;347
2023-05-01;Тюменская область;31277
2023-05-01;Республика Саха (Якутия);4311
2023-05-01;Калужская область;9286
2023-05-01;Воронежская область;16944
2023-05-01;Приморский край;5977
2023-05-01;Краснодарский край;81039
2023-05-01;Кемеровская область;9989
2023-05-01;Чувашская Республика;3957
2023-05-01;Костромская область;5853
2023-05-01;Республика Алтай;469
2023-05-01;Республика Хакасия;4860
2023-05-01;Республика Татарстан;19036
2023-05-01;Кабардино-Балкарская Республика;3433
2023-05-01;Брянская область;4437
2023-05-01;Москва;38236
2023-05-01;Томская область;6869
2023-05-01;Ямало-Ненецкий автономный округ;2471
2023-05-01;Республика Карелия;1555
2023-05-01;Республика Башкортостан;20421
2023-05-01;Тверская область;6111
2023-05-01;Республика Калмыкия;897
2023-05-01;Астраханская область;3358
2023-05-01;Санкт-Петербург;51381
2023-04-01;Калининградская область;12059
2023-04-01;Пензенская область;9831
2023-04-01;Удмуртская Республика;6707
2023-04-01;Челябинская область;12675
2023-04-01;Архангельская область;3788
2023-04-01;Республика Алтай;526
2023-04-01;Тамбовская область;2979
2023-04-01;Забайкальский край;4259
2023-04-01;Республика Северная Осетия — Алания;3798
2023-04-01;Чувашская Республика;4091
2023-04-01;Республика Тыва;1725
2023-04-01;Ивановская область;4420
2023-04-01;Воронежская область;22033
2023-04-01;Вологодская область;6128
2023-03-01;Самарская область;11104
2023-03-01;Республика Тыва;1539
2023-03-01;Костромская область;6007
2023-03-01;Карачаево-Черкесская Республика;690
2023-03-01;Волгоградская область;9643
2023-03-01;Республика Адыгея;4599
2023-03-01;Оренбургская область;8076
2023-03-01;Орловская область;2847
2023-03-01;Курганская область;2551
2023-03-01;Псковская область;1511
2023-03-01;Республика Ингушетия;362
2023-03-01;Новгородская область;1691
2023-03-01;Новосибирская область;13385
2023-03-01;Ставропольский край;21672
2023-03-01;Иркутская область;10769
2023-03-01;Московская область;47167
2023-03-01;Липецкая область;3026
2023-03-01;Республика Марий Эл;3369
2023-03-01;Ленинградская область;14907
2023-03-01;Нижегородская область;13677
2023-03-01;Ивановская область;4004
2023-03-01;Республика Северная Осетия — Алания;3403
2023-03-01;Удмуртская Республика;6279
2023-03-01;Владимирская область;8536
2023-03-01;Сахалинская область;4259
2023-03-01;Ненецкий автономный округ;50
2023-03-01;Тюменская область;31593
2023-03-01;Республика Саха (Якутия);5066
2023-03-01;Приморский край;6028
2023-03-01;Кемеровская область;11004
2023-03-01;Республика Алтай;567
2023-03-01;Республика Хакасия;4865
2023-03-01;Кабардино-Балкарская Республика;3201
2023-03-01;Томская область;11004
