date;region;value
2023-08-31;Россия;137019
2023-08-31;Ярославская область;95654
2023-08-31;Ямало-Ненецкий автономный округ;145014
2023-08-31;Чувашская Республика;89567
2023-08-31;Челябинская область;84575
2023-08-31;Ханты-Мансийский автономный округ — Югра;124355
2023-08-31;Хабаровский край;133660
2023-08-31;Ульяновская область;85004
2023-08-31;Удмуртская Республика;88150
2023-08-31;Тюменская область;114316
2023-08-31;Тульская область;105366
2023-08-31;Томская область;112770
2023-08-31;Тверская область;108367
2023-08-31;Тамбовская область;74008
2023-08-31;Ставропольский край;89918
2023-08-31;Смоленская область;65298
2023-08-31;Свердловская область;117725
2023-08-31;Сахалинская область;169319
2023-08-31;Саратовская область;73973
2023-08-31;Санкт-Петербург;203973
2023-08-31;Самарская область;95556
2023-08-31;Рязанская область;98580
2023-08-31;Ростовская область;106485
2023-08-31;Республика Хакасия;106011
2023-08-31;Республика Тыва;143591
2023-08-31;Республика Татарстан;130895
2023-08-31;Республика Северная Осетия — Алания;77072
2023-08-31;Республика Саха (Якутия);162078
2023-08-31;Республика Мордовия;77155
2023-08-31;Республика Марий Эл;73970
2023-08-31;Республика Коми;89410
2023-08-31;Республика Карелия;114271
2023-08-31;Республика Калмыкия;62169
2023-08-31;Республика Дагестан;63667
2023-08-31;Республика Бурятия;90745
2023-08-31;Республика Башкортостан;112750
2023-08-31;Республика Алтай;111194
2023-08-31;Республика Адыгея;95567
2023-08-31;Псковская область;68399
2023-08-31;Приморский край;152529
2023-08-31;Пермский край;111605
2023-08-31;Пензенская область;89101
2023-08-31;Орловская область;78442
2023-08-31;Оренбургская область;66998
2023-08-31;Омская область;107810
2023-08-31;Новосибирская область;117813
2023-08-31;Новгородская область;80146
2023-08-31;Нижегородская область;129822
2023-08-31;Московская область;160992
2023-08-31;Москва;272662
2023-08-31;Липецкая область;80777
2023-08-31;Ленинградская область;149296
2023-08-31;Курская область;81320
2023-08-31;Курганская область;68536
2023-08-31;Красноярский край;112410
2023-08-31;Краснодарский край;156873
2023-08-31;Костромская область;80987
2023-08-31;Кировская область;91626
2023-08-31;Кемеровская область;97678
2023-08-31;Калужская область;97763
2023-08-31;Калининградская область;108008
2023-08-31;Кабардино-Балкарская Республика;62154
2023-08-31;Иркутская область;116118
2023-08-31;Ивановская область;77572
2023-08-31;Забайкальский край;145994
2023-08-31;Воронежская область;94149
2023-08-31;Вологодская область;80242
2023-08-31;Волгоградская область;87967
2023-08-31;Владимирская область;77591
2023-08-31;Брянская область;81742
2023-08-31;Белгородская область;103642
2023-08-31;Астраханская область;122138
2023-08-31;Архангельская область;116881
2023-08-31;Амурская область;134314
2023-08-31;Алтайский край;98506
2023-07-31;Россия;135350
2023-07-31;Ярославская область;94559
2023-07-31;Ямало-Ненецкий автономный округ;143259
2023-07-31;Чувашская Республика;88273
2023-04-30;Республика Башкортостан;107958
2023-04-30;Республика Алтай;97967
2023-04-30;Республика Адыгея;97468
2023-04-30;Псковская область;67923
2023-04-30;Приморский край;145885
2023-04-30;Пермский край;108298
2023-04-30;Пензенская область;88362
2023-04-30;Орловская область;75698
2023-04-30;Оренбургская область;65496
2023-04-30;Омская область;104867
2023-04-30;Новосибирская область;115360
2023-04-30;Новгородская область;81091
2023-04-30;Нижегородская область;128014
2023-04-30;Московская область;157813
2023-04-30;Москва;260750
2023-04-30;Липецкая область;80596
2023-04-30;Ленинградская область;149074
2023-04-30;Курская область;80783
