date;region;value
2023-08-31;Россия;97739
2023-08-31;Ярославская область;69586
2023-08-31;Ямало-Ненецкий автономный округ;124300
2023-08-31;Чукотский автономный округ;168081
2023-08-31;Чувашская Республика;80067
2023-08-31;Чеченская Республика;58277
2023-08-31;Челябинская область;65497
2023-08-31;Ханты-Мансийский автономный округ — Югра;93169
2023-08-31;Хабаровский край;95842
2023-08-31;Ульяновская область;65657
2023-08-31;Удмуртская Республика;67099
2023-08-31;Тюменская область;92562
2023-08-31;Тульская область;72486
2023-08-31;Томская область;87455
2023-08-31;Тверская область;74928
2023-08-31;Тамбовская область;71712
2023-08-31;Ставропольский край;84566
2023-08-31;Смоленская область;60311
2023-08-31;Свердловская область;80670
2023-08-31;Сахалинская область;137574
2023-08-31;Саратовская область;68245
2023-08-31;Санкт-Петербург;168765
2023-08-31;Самарская область;77687
2023-08-31;Рязанская область;71301
2023-08-31;Ростовская область;79716
2023-08-31;Республика Хакасия;73612
2023-08-31;Республика Тыва;121371
2023-08-31;Республика Татарстан;92968
2023-08-31;Республика Северная Осетия — Алания;72296
2023-08-31;Республика Саха (Якутия);117364
2023-08-31;Республика Мордовия;66264
2023-08-31;Республика Марий Эл;68607
2023-08-31;Республика Крым;137454
2023-08-31;Республика Коми;72421
2023-08-31;Республика Карелия;90971
2023-08-31;Карачаево-Черкесская Республика;86176
2023-07-31;Республика Башкортостан;74977
2023-07-31;Республика Алтай;117110
2023-07-31;Республика Адыгея;84155
2023-07-31;Псковская область;67969
2023-07-31;Приморский край;119938
2023-07-31;Пермский край;71855
2023-07-31;Пензенская область;72164
2023-07-31;Орловская область;65529
2023-07-31;Оренбургская область;59798
2023-07-31;Омская область;81729
2023-07-31;Новосибирская область;97329
2023-07-31;Новгородская область;67579
2023-07-31;Нижегородская область;89636
2023-07-31;Ненецкий автономный округ;89173
2023-07-31;Мурманская область;77874
2023-07-31;Московская область;136173
2023-07-31;Москва;260704
2023-07-31;Магаданская область;110314
2023-07-31;Липецкая область;68901
2023-07-31;Ленинградская область;115011
2023-07-31;Курская область;68914
2023-07-31;Курганская область;60250
2023-07-31;Красноярский край;86380
2023-07-31;Краснодарский край;135236
2023-07-31;Костромская область;68846
2023-07-31;Кировская область;72691
2023-07-31;Кемеровская область;72646
2023-07-31;Камчатский край;124581
2023-07-31;Калужская область;87388
2023-07-31;Калининградская область;92879
2023-07-31;Кабардино-Балкарская Республика;66166
2023-07-31;Иркутская область;87574
2023-07-31;Ивановская область;66431
2023-07-31;Забайкальский край;94260
2023-07-31;Еврейская автономная область;71103
2023-07-31;Воронежская область;77313
2023-07-31;Вологодская область;68937
2023-07-31;Волгоградская область;67705
2023-07-31;Владимирская область;68464
2023-07-31;Брянская область;61448
2023-07-31;Белгородская область;74961
2023-07-31;Астраханская область;68170
2023-07-31;Архангельская область;82201
2023-07-31;Амурская область;114891
2023-07-31;Алтайский край;77777
2023-06-30;Россия;95674
2023-06-30;Ярославская область;67876
2023-06-30;Ямало-Ненецкий автономный округ;121627
2023-06-30;Чукотский автономный округ;164012
2023-06-30;Чувашская Республика;76634
2023-06-30;Чеченская Республика;53881
2023-06-30;Челябинская область;62544
2023-06-30;Ханты-Мансийский автономный округ — Югра;91221
2023-06-30;Хабаровский край;93739
2023-06-30;Ульяновская область;63799
2023-06-30;Удмуртская Республика;65350
2023-06-30;Тюменская область;89911
2023-06-30;Тульская область;71722
2023-06-30;Томская область;85252
2023-06-30;Тверская область;73807
2023-06-30;Тамбовская область;70623
2023-06-30;Ставропольский край;82605
2023-06-30;Смоленская область;58562
2023-06-30;Свердловская область;77964
2023-06-30;Сахалинская область;136043
2023-06-30;Саратовская область;65647
2023-06-30;Санкт-Петербург;166678
2023-06-30;Самарская область;75431
2023-06-30;Рязанская область;70245
2023-06-30;Ростовская область;77224
2023-06-30;Республика Хакасия;72093
2023-06-30;Республика Тыва;121910
2023-06-30;Республика Татарстан;90980
2023-06-30;Республика Северная Осетия — Алания;69626
2023-06-30;Республика Саха (Якутия);114826
2023-06-30;Республика Мордовия;64116
2023-06-30;Республика Марий Эл;66251
2023-06-30;Республика Крым;131044
2023-06-30;Республика Коми;70813
2023-06-30;Республика Карелия;88500
2023-06-30;Карачаево-Черкесская Республика;84420
2023-06-30;Республика Калмыкия;64118
2023-06-30;Республика Ингушетия;45638
2023-06-30;Республика Дагестан;83638
2023-06-30;Республика Бурятия;95433
2023-06-30;Республика Башкортостан;74409
2023-06-30;Республика Алтай;112834
2023-06-30;Республика Адыгея;83476
2023-06-30;Псковская область;67215
2023-06-30;Приморский край;119390
2023-06-30;Пермский край;71014
2023-06-30;Пензенская область;71476
2023-06-30;Орловская область;65242
2023-06-30;Оренбургская область;59002
2023-06-30;Омская область;80091
2023-06-30;Новосибирская область;97047
2023-06-30;Новгородская область;66863
2023-06-30;Нижегородская область;88386
2023-06-30;Ненецкий автономный округ;86600
2023-06-30;Мурманская область;76663
2023-06-30;Московская область;135593
2023-06-30;Москва;258670
2023-06-30;Магаданская область;110110
2023-06-30;Липецкая область;67935
2023-06-30;Ленинградская область;114518
2023-06-30;Курская область;68667
2023-06-30;Курганская область;58979
2023-06-30;Красноярский край;85683
2023-06-30;Краснодарский край;132406
