date;region;value
2023-07-01;Архангельская область;122778
2023-07-01;Тамбовская область;69508.3
2023-07-01;Республика Дагестан;119675
2023-07-01;Республика Карелия;101796
2023-07-01;Нижегородская область;134772
2023-07-01;Ростовская область;110333
2023-07-01;Брянская область;84007.8
2023-07-01;Ульяновская область;86067.5
2023-07-01;Свердловская область;126892
2023-07-01;Волгоградская область;89138.5
2023-07-01;Забайкальский край;145917
2023-07-01;Республика Башкортостан;131500
2023-07-01;Владимирская область;74765
2023-07-01;Калужская область;101148
2023-07-01;Астраханская область;112197
2023-07-01;Ямало-Ненецкий автономный округ;200069
2023-07-01;Красноярский край;111878
2023-07-01;Новосибирская область;127362
2023-07-01;Кировская область;92125
2023-07-01;Томская область;129667
2023-07-01;Чувашская Республика;96130.1
2023-07-01;Орловская область;84995.4
2023-07-01;Хабаровский край;148877
2023-07-01;Республика Северная Осетия — Алания;72500
2023-07-01;Костромская область;81949.2
2023-07-01;Приморский край;153265
2023-07-01;Удмуртская Республика;88254.6
2023-07-01;Республика Саха (Якутия);136280
2023-07-01;Республика Алтай;140000
2023-07-01;Ярославская область;89453.8
2023-07-01;Самарская область;92696
2023-07-01;Пензенская область;83126.7
2023-07-01;Республика Хакасия;105384
2023-07-01;Республика Бурятия;90476.2
2023-07-01;Краснодарский край;138500
2023-07-01;Ленинградская область;147214
2023-07-01;Тюменская область;113142
2023-07-01;Московская область;184892
2023-07-01;Пермский край;121078
2023-07-01;Калининградская область;112375
2023-07-01;Кемеровская область;93500
2023-07-01;Курганская область;68245.6
2023-07-01;Алтайский край;96525.4
2023-07-01;Сахалинская область;157007
2023-07-01;Республика Тыва;130833
2023-07-01;Россия;127203
2023-07-01;Воронежская область;99100.4
2023-07-01;Вологодская область;87868.9
2023-07-01;Омская область;114631
2023-07-01;Республика Коми;95518.8
2023-07-01;Рязанская область;95000
2023-07-01;Республика Марий Эл;72321.4
2023-07-01;Челябинская область;83333.3
2023-07-01;Смоленская область;67580.5
2023-07-01;Тверская область;101832
2023-07-01;Камчатский край;182463
2023-07-01;Иркутская область;130527
2023-07-01;Республика Калмыкия;74001.8
2023-07-01;Новгородская область;85995.1
2023-07-01;Липецкая область;83992.8
2023-07-01;Псковская область;70500
2023-07-01;Амурская область;136079
2023-07-01;Республика Мордовия;78000
2023-07-01;Ставропольский край;95375.8
2023-07-01;Санкт-Петербург;231655
2023-07-01;Ивановская область;79791.7
2023-07-01;Республика Адыгея;107889
2023-07-01;Москва;349028
2023-07-01;Курская область;83875
2023-07-01;Белгородская область;103719
2023-07-01;Оренбургская область;70754
2023-07-01;Саратовская область;85000
2023-07-01;Тульская область;95466
2023-07-01;Ханты-Мансийский автономный округ — Югра;121538
2023-07-01;Республика Татарстан;149177
2023-06-01;Республика Тыва;129500
2023-06-01;Удмуртская Республика;91116.3
2023-06-01;Рязанская область;94291.4
2023-06-01;Псковская область;69449.7
2023-06-01;Ярославская область;85271.9
2023-06-01;Республика Адыгея;107000
2023-06-01;Самарская область;96368.7
2023-06-01;Пензенская область;84940.3
2023-06-01;Калининградская область;109089
2023-06-01;Краснодарский край;139089
2023-06-01;Республика Хакасия;89400
2023-06-01;Саратовская область;84101.9
2023-06-01;Республика Бурятия;96500
2023-06-01;Амурская область;137806
2023-06-01;Ленинградская область;147849
2023-06-01;Орловская область;81452.6
2023-06-01;Пермский край;122805
2023-06-01;Белгородская область;85883.8
2023-06-01;Вологодская область;89250
2023-06-01;Республика Саха (Якутия);136911
2023-06-01;Курганская область;61750.7
2023-06-01;Курская область;84706.4
2023-06-01;Кемеровская область;94333.3
2023-06-01;Республика Северная Осетия — Алания;70000
2023-06-01;Ставропольский край;93859.4
2023-06-01;Алтайский край;100500
2023-06-01;Липецкая область;82756.7
2023-06-01;Сахалинская область;155761
2023-06-01;Ханты-Мансийский автономный округ — Югра;106693
2023-06-01;Приморский край;158500
2023-06-01;Санкт-Петербург;228820
2023-06-01;Россия;125000
2023-06-01;Воронежская область;95120
2023-06-01;Республика Мордовия;75120.3
2023-06-01;Омская область;122913
2023-06-01;Архангельская область;120625
2023-06-01;Оренбургская область;68424.2
2023-06-01;Республика Татарстан;161573
2023-06-01;Тульская область;102602
2023-06-01;Тамбовская область;75144.9
2023-06-01;Республика Коми;95483.9
2023-06-01;Республика Карелия;120046
2023-06-01;Нижегородская область;130881
2023-06-01;Челябинская область;92167.9
2023-06-01;Ростовская область;99893.6
2023-06-01;Ульяновская область;84706.4
2023-06-01;Смоленская область;63371.8
2023-06-01;Свердловская область;120491
2023-06-01;Ивановская область;82000
2023-06-01;Республика Марий Эл;68000
2023-06-01;Забайкальский край;149559
2023-06-01;Тюменская область;113878
2023-06-01;Тверская область;104369
2023-06-01;Республика Башкортостан;116101
2023-06-01;Калужская область;104444
2023-06-01;Владимирская область;72432.4
2023-06-01;Брянская область;84000
2023-06-01;Волгоградская область;86514.1
2023-06-01;Красноярский край;104354
2023-06-01;Новосибирская область;131365
2023-06-01;Республика Калмыкия;76002.4
2023-06-01;Томская область;114917
2023-06-01;Новгородская область;90892.7
2023-06-01;Астраханская область;111702
2023-06-01;Московская область;183414
2023-06-01;Москва;338614
2023-06-01;Кировская область;89666.7
2023-06-01;Чувашская Республика;93458.3
2023-06-01;Иркутская область;113000
2023-06-01;Хабаровский край;137179
2023-06-01;Костромская область;80983.2
2023-05-01;Астраханская область;111909
2023-05-01;Ставропольский край;92490.1
2023-05-01;Ивановская область;81853
2023-05-01;Иркутская область;117244
2023-05-01;Удмуртская Республика;89256.1
2023-05-01;Чувашская Республика;106374
2023-05-01;Новосибирская область;128549
2023-05-01;Ленинградская область;138532
2023-05-01;Псковская область;69882.7
2023-05-01;Республика Алтай;117500
2023-05-01;Липецкая область;85789.1
2023-05-01;Тамбовская область;73370.4
2023-05-01;Владимирская область;79145.6
2023-05-01;Ярославская область;92989.8
2023-05-01;Тульская область;93977.7
2023-05-01;Республика Татарстан;164229
2023-05-01;Самарская область;93166.2
2023-05-01;Республика Дагестан;120993
2023-05-01;Пензенская область;81343.1
2023-05-01;Краснодарский край;137895
2023-05-01;Московская область;179820
2023-05-01;Камчатский край;158049
2023-05-01;Нижегородская область;141938
2023-05-01;Республика Хакасия;80440.4
2023-05-01;Республика Коми;74953.3
2023-05-01;Санкт-Петербург;247216
2023-05-01;Республика Карелия;126955
2023-05-01;Хабаровский край;132974
2023-05-01;Республика Бурятия;90375
2023-05-01;Республика Северная Осетия — Алания;69500
2023-05-01;Республика Марий Эл;74000
2023-05-01;Амурская область;135281
2023-05-01;Вологодская область;86033.3
2023-05-01;Красноярский край;115757
2023-05-01;Орловская область;80876.2
2023-05-01;Калининградская область;117925
2023-05-01;Белгородская область;90761.5
2023-05-01;Пермский край;117425
2023-05-01;Челябинская область;77446.4
2023-05-01;Костромская область;74592
2023-05-01;Республика Тыва;148500
2023-05-01;Ростовская область;103005
2023-05-01;Курганская область;64283.2
2023-05-01;Свердловская область;126453
2023-05-01;Смоленская область;65442.7
2023-05-01;Кемеровская область;86750
2023-05-01;Ульяновская область;79555.2
2023-05-01;Рязанская область;96168.7
2023-05-01;Новгородская область;87549.6
2023-05-01;Кировская область;84750
2023-05-01;Курская область;80847.8
2023-05-01;Республика Мордовия;75000
2023-03-01;Астраханская область;111949
2023-03-01;Белгородская область;93462
2023-03-01;Липецкая область;91246
2023-03-01;Республика Мордовия;73250
2023-03-01;Республика Коми;76146.4
2023-03-01;Свердловская область;124507
2023-03-01;Воронежская область;91196.2
2023-02-01;Ивановская область;71155.4
2023-02-01;Архангельская область;115711
2023-02-01;Москва;315195
2023-02-01;Тюменская область;116710
2023-02-01;Нижегородская область;126879
2023-02-01;Курская область;84765.1
2023-02-01;Волгоградская область;79400.7
2023-02-01;Республика Мордовия;72409.4
2023-02-01;Амурская область;130977
2023-02-01;Оренбургская область;66954.7
2023-02-01;Саратовская область;73240.3
2023-02-01;Республика Северная Осетия — Алания;65000
2023-02-01;Россия;127179
2023-02-01;Санкт-Петербург;236205
2023-02-01;Псковская область;68500
2023-02-01;Ставропольский край;87051.2
2023-02-01;Новгородская область;86856.6
2023-02-01;Тверская область;96476.8
2023-02-01;Республика Марий Эл;66636.9
2023-02-01;Смоленская область;56033.5
2023-02-01;Челябинская область;86095.2
2023-02-01;Республика Коми;85526.7
2023-02-01;Республика Адыгея;105000
2023-02-01;Воронежская область;89000
2023-02-01;Омская область;110805
2023-02-01;Орловская область;78940
2023-02-01;Алтайский край;90334.1
2023-02-01;Сахалинская область;174337
2023-02-01;Кемеровская область;95410.3
2023-02-01;Курганская область;64629.6
2023-02-01;Самарская область;87995.5
2023-02-01;Чувашская Республика;79576.9
2023-02-01;Пермский край;114016
2023-02-01;Республика Хакасия;82870
2023-02-01;Ярославская область;92336
2023-02-01;Республика Алтай;96000
2023-02-01;Удмуртская Республика;89903.7
2023-02-01;Краснодарский край;132270
2023-02-01;Ленинградская область;142331
2023-02-01;Хабаровский край;149099
2023-02-01;Республика Саха (Якутия);141399
2023-02-01;Приморский край;153704
2023-02-01;Костромская область;82669.5
2023-02-01;Брянская область;74592.2
2023-02-01;Вологодская область;92841.6
2023-02-01;Кировская область;87937.5
2023-02-01;Пензенская область;78135.5
2023-02-01;Московская область;181756
2023-02-01;Астраханская область;117249
2023-02-01;Липецкая область;87500
2023-02-01;Томская область;100872
2023-02-01;Владимирская область;85578.5
2023-02-01;Калужская область;93324.6
2023-02-01;Белгородская область;89960.8
2023-02-01;Республика Башкортостан;131146
2023-02-01;Республика Тыва;137808
2023-02-01;Республика Татарстан;152634
2023-02-01;Забайкальский край;131326
2023-02-01;Новосибирская область;137746
2023-02-01;Свердловская область;115375
2023-02-01;Иркутская область;121860
