date;region;value
2023-07-01;Республика Дагестан;98039.2
2023-07-01;Владимирская область;72212.1
2023-07-01;Кировская область;79032.3
2023-07-01;Костромская область;74500
2023-07-01;Иркутская область;68750
2023-07-01;Волгоградская область;79356.2
2023-07-01;Республика Марий Эл;70341.4
2023-07-01;Челябинская область;68750
2023-07-01;Пермский край;77031
2023-07-01;Ненецкий автономный округ;91804.4
2023-07-01;Ханты-Мансийский автономный округ — Югра;106873
2023-07-01;Ульяновская область;73387.1
2023-07-01;Вологодская область;75622.8
2023-07-01;Республика Карелия;91224
2023-07-01;Калининградская область;109416
2023-07-01;Чувашская Республика;87947.5
2023-07-01;Забайкальский край;108785
2023-07-01;Новгородская область;77222.7
2023-07-01;Республика Башкортостан;77187
2023-07-01;Мурманская область;82000
2023-07-01;Липецкая область;77529.4
2023-07-01;Воронежская область;89990.4
2023-07-01;Саратовская область;74666.7
2023-07-01;Кабардино-Балкарская Республика;74418.6
2023-07-01;Рязанская область;81020
2023-07-01;Краснодарский край;124895
2023-07-01;Хабаровский край;96385.5
2023-07-01;Карачаево-Черкесская Республика;92401.3
2023-07-01;Тульская область;83333.3
2023-07-01;Приморский край;125632
2023-07-01;Республика Саха (Якутия);125220
2023-07-01;Республика Хакасия;87150.4
2023-07-01;Оренбургская область;61654.1
2023-07-01;Тверская область;84607
2023-07-01;Республика Коми;76181.3
2023-07-01;Камчатский край;139930
2023-07-01;Республика Алтай;121493
2023-07-01;Чеченская Республика;75862.1
2023-07-01;Ямало-Ненецкий автономный округ;134572
2023-07-01;Москва;281893
2023-07-01;Ивановская область;76000
2023-07-01;Московская область;157480
2023-07-01;Архангельская область;89333.3
2023-07-01;Республика Мордовия;70999.9
2023-07-01;Калужская область;95176.8
2023-07-01;Свердловская область;94028
2023-07-01;Республика Тыва;135951
2023-07-01;Курганская область;64883.7
2023-07-01;Россия;101010
2023-07-01;Новосибирская область;104342
2023-07-01;Ставропольский край;95729.5
2023-07-01;Удмуртская Республика;72561.3
2023-07-01;Алтайский край;87682
2023-07-01;Белгородская область;82432.4
2023-07-01;Томская область;102804
2023-07-01;Омская область;91351.4
2023-07-01;Нижегородская область;102594
2023-07-01;Красноярский край;99393.9
2023-07-01;Тамбовская область;81606.1
2023-07-01;Ленинградская область;136250
2023-07-01;Чукотский автономный округ;155837
2023-07-01;Тюменская область;106953
2023-07-01;Ярославская область;80000
2023-07-01;Кемеровская область;84688.7
2023-07-01;Республика Бурятия;106977
2023-07-01;Республика Ингушетия;55892.4
2023-07-01;Амурская область;135987
2023-07-01;Санкт-Петербург;186944
2023-07-01;Брянская область;73074
2023-07-01;Ростовская область;98738.2
2023-07-01;Сахалинская область;142491
2023-07-01;Самарская область;85766.2
2023-07-01;Орловская область;76053
2023-07-01;Курская область;76020.8
2023-07-01;Республика Адыгея;90528.9
2023-07-01;Республика Северная Осетия — Алания;78571.4
2023-07-01;Магаданская область;119540
2023-07-01;Псковская область;73076.9
2023-07-01;Еврейская автономная область;75396
2023-07-01;Республика Калмыкия;69552.4
2023-07-01;Республика Татарстан;104527
2023-07-01;Смоленская область;64734
2023-07-01;Пензенская область;81446
2023-07-01;Астраханская область;73089.7
2023-06-01;Волгоградская область;77419.4
2023-06-01;Астраханская область;71961.9
2023-06-01;Карачаево-Черкесская Республика;92953.2
2023-06-01;Чеченская Республика;71960.3
2023-06-01;Магаданская область;118290
2023-06-01;Пензенская область;81250
2023-06-01;Хабаровский край;98130.8
2023-06-01;Чукотский автономный округ;120000
2023-06-01;Костромская область;77672.2
2023-06-01;Ямало-Ненецкий автономный округ;137725
2023-06-01;Москва;277778
2023-06-01;Санкт-Петербург;186992
2023-06-01;Рязанская область;81628.2
2023-06-01;Воронежская область;92243.5
2023-06-01;Ненецкий автономный округ;99074.1
2023-06-01;Орловская область;75495
2023-06-01;Тульская область;85884
2023-06-01;Тюменская область;107959
2023-06-01;Саратовская область;72500
2023-06-01;Курганская область;62815.1
2023-06-01;Амурская область;134576
2023-06-01;Кемеровская область;82949.3
2023-06-01;Республика Башкортостан;76653.4
2023-06-01;Республика Карелия;90739.5
2023-06-01;Новгородская область;74193.5
2023-06-01;Ульяновская область;71875
2023-06-01;Республика Хакасия;85640.5
2023-06-01;Приморский край;122611
2023-06-01;Республика Алтай;121636
2023-06-01;Республика Тыва;134951
2023-06-01;Архангельская область;88972.4
2023-06-01;Республика Бурятия;105795
2023-06-01;Республика Калмыкия;68807.3
2023-06-01;Белгородская область;84598.9
2023-06-01;Тамбовская область;78442.9
2023-06-01;Псковская область;69216.7
2023-06-01;Свердловская область;93801.2
2023-06-01;Республика Дагестан;94444.4
2023-06-01;Ярославская область;81435.6
2023-06-01;Смоленская область;61851.3
2023-06-01;Челябинская область;67460.3
2023-06-01;Владимирская область;73051.9
2023-06-01;Республика Саха (Якутия);130000
2023-06-01;Иркутская область;79666.7
2023-06-01;Пермский край;75000
2023-06-01;Томская область;101277
2023-06-01;Новосибирская область;101449
2023-06-01;Ханты-Мансийский автономный округ — Югра;101015
2023-06-01;Удмуртская Республика;78383.6
2023-06-01;Чувашская Республика;86731.5
2023-06-01;Вологодская область;75188
2023-06-01;Мурманская область;77731.1
2023-06-01;Липецкая область;76676.9
2023-06-01;Краснодарский край;128817
2023-06-01;Республика Мордовия;71721.8
2023-04-01;Курская область;75000
2023-04-01;Челябинская область;64193.5
2023-04-01;Республика Адыгея;93706.3
2023-04-01;Брянская область;66923.1
2023-04-01;Калужская область;91666.7
2023-04-01;Россия;98623.9
2023-04-01;Ивановская область;78046
2023-04-01;Тульская область;85274.7
2023-04-01;Тверская область;82369.9
2023-04-01;Республика Дагестан;89285.7
2023-04-01;Новосибирская область;103005
2023-04-01;Республика Татарстан;106429
2023-04-01;Ставропольский край;92857.1
2023-04-01;Архангельская область;92058.1
2023-04-01;Кабардино-Балкарская Республика;71000
2023-04-01;Камчатский край;134576
2023-04-01;Пензенская область;80707.8
2023-04-01;Рязанская область;78820.4
2023-04-01;Краснодарский край;122435
2023-04-01;Липецкая область;76000
2023-04-01;Нижегородская область;106411
2023-04-01;Республика Мордовия;70671.4
2023-04-01;Республика Калмыкия;69067.3
2023-04-01;Свердловская область;95000
2023-04-01;Кемеровская область;81081.1
2023-04-01;Смоленская область;62769.3
2023-04-01;Чувашская Республика;82624.3
2023-04-01;Оренбургская область;59113.3
2023-04-01;Мурманская область;77008.5
2023-04-01;Забайкальский край;104564
2023-04-01;Хабаровский край;97619
2023-04-01;Московская область;156522
2023-04-01;Республика Марий Эл;69678.2
2023-04-01;Томская область;99053.8
2023-04-01;Костромская область;78378.4
2023-04-01;Ханты-Мансийский автономный округ — Югра;103634
2023-04-01;Вологодская область;74846.5
2023-04-01;Республика Тыва;133855
2023-04-01;Иркутская область;83720.9
2023-04-01;Удмуртская Республика;69866.2
2023-04-01;Саратовская область;71698.1
2023-04-01;Приморский край;130000
2023-04-01;Республика Саха (Якутия);125000
2023-04-01;Пермский край;76500
2023-04-01;Кировская область;75793
2023-04-01;Владимирская область;78774.1
2023-04-01;Ярославская область;81010.5
2023-04-01;Республика Алтай;118540
2023-04-01;Белгородская область;80675.4
2023-04-01;Тамбовская область;80021.2
2023-04-01;Ненецкий автономный округ;95315.2
2023-04-01;Амурская область;135296
2023-04-01;Новгородская область;73333.3
2023-04-01;Республика Карелия;88524.6
2023-04-01;Республика Башкортостан;75862.1
2023-04-01;Воронежская область;86842.1
2023-04-01;Санкт-Петербург;185455
2023-04-01;Тюменская область;106195
2023-04-01;Республика Северная Осетия — Алания;66341
2023-04-01;Орловская область;74000
2023-04-01;Республика Хакасия;84877.1
2023-04-01;Астраханская область;69162.8
